English Word,Persian Translation,Encyclopedia Translation,User Suggestion
extremal quasi-conformal mapping,نگاشت شبه‌ همدیس فرینال,,
extreme and mean ratio,نسبت ذات وسط و طرفین,,
extreme of a function → extremum of a function,,,
extreme,فرین، کرانگین,,
extreme point,نقطۀ فرین,,
extreme value distribution,توزیع مقدار کرانگین,,
extreme value problem,مسألۀ مقدار فرین,,
extremum,فرینه، کرانگینه,,
extremum of a function = extreme of a function,فرینۀ تابع,,
eye distance,فاصلۀ چشمی,,
eye estimate,برآورد چشمی,,
face,وجه,,
face angle,زاویۀ وجه,,
face of a polyhedron,وجه چندوجهی,,
face of a simplex,وجه سادک,,
face operator,عملگر وجهی,,
factor,عامل,,
factor analysis,تحلیل عاملی,,
factor group → quotient group,,,
factor module,مدول خارج قسمتی,,
factor of a polynomial,عامل چندجمله‌ای,,
factor of proportionality,ضریب تناسب,,
factor ring → quotient ring,,,
factor space → quotient space,,,
factor theorem of algebra,قضیۀ عامل‌ها در جبر,,
factorial n → n-factorial,,,
factorial,,,
factorial design,طرح عاملی,,
factorial function,تابع عاملی، تابع فاکتوریل,,
factorization,تجزیه (به‌ عامل‌ها)، عامل‌گیری,,
factorization method,روش تجزیه,,
factorization of a natural number,تجزیۀ عدد طبیعی,,
factorization of a polynomial,تجزیۀ چندجمله‌ای,,
factorization of an algebraic sum,تجزیۀ مجموع جبری,,
factorization theorem,قضیۀ تجزیه (به عامل‌ها),,
failure,شکست,,
fair game,بازی منصفانه,,
faithful action,عمل صادق، کنش وفادار,,
faithful functor,تابعگون صادق,,
faithful linear representation,نمایش خطی صادق,,
false 1,کاذب، ناراست,,
false 2,غلط [آمار],,
false acceptance,پذیرش غلط,,
false rejection,رد غلط,,
family of curves,خانوادۀ خم‌ها,,
family of functions,خانوادۀ تابع‏ها,,
family of points,خانوادۀ نقطه‏ها,,
family of sets,خانوادۀ مجموعه‏ها,,
fast Fourier transform,تبدیل فوریۀ سریع,,
favorable outcome,پیشامد مساعد,,
F-distribution,Fتوزیع,,
feasible region = constraint set,ناحیۀ شدنی,,
feasible solution,جواب ممکن,,
Fejer kernel,هستۀ فه‌یِر,,
Fejer mean,میانگین فه‌یِر,,
Fejer theorem,قضیۀ فه‌یِر,,
Feller process,فرایند فلر,,
Fermat principle,اصل فرما,,
Fermat spiral,مارپیچ فرما,,
Fermat's last theorm = last theorem of Fermat,قضیۀ آخر فرما,,
Fermat's theorem,قضیۀ فرما,,
fiber,تار,,
fiber bundle,کلاف تاری,,
fiber product,حاصل‏ضرب تاری,,
fiber space,فضای تاری,,
fibration,تاربندی,,
Fibonacci numbers,عددهای فیبوناتچی,,
Fibonacci sequence,دنبالۀ فیبوناتچی,,
fictitious year,سال پنداری,,
field = commutative field,میدان,,
field axioms,اصل موضوع‌های میدان,,
field of fractions = fraction field,میدان کسرها,,
field of moduli,میدان پیمانه‌ها,,
field of quotients → quotient field,,,
field theory 1,نظریۀ میدان‌ها,,
field theory 2,نظریۀ میدان [فیزیک],,
figure 1,رقم,,
figure 2,شکل,,
filter,پالایه,,
filter base,پایۀ پالایه,,
filtration,پالایش,,
filtration degree,درجۀ پالایش,,
final object = terminal object,شیء پایانی,,
final set,مجموعۀ پایانی,,
final value theorem,قضیۀ مقدار پایانی,,
financial mathematics → mathematical finance,,,
fine structure,ساختار ظریف,,
fine topology,توپولوژی ظریف,,
finer topology → stronger topology,,,
finitary proof,برهان متناهی‌مبنا,,
finite population,جامعۀ متناهی,,
finite basis for an ideal,پایۀ متناهی ایده‏آل,,
finite cardinal number,عدد اصلی متناهی,,
finite cell complex,مجتمع خانه‌ای متناهی,,
finite continued fraction,کسر مسلسل متناهی,,
finite covering,پوشش متناهی,,
finite decimal,عدد اعشاری متناهی,,
finite differences,تفاضل‌های متناهی,,
finite dimensional distributions,توزیع‌های متناهی‌بعدی,,
finite dimensional extension,گسترش متناهی‏بعدی,,
finite dimensional linear space,فضای خطی متناهی‌بعد,,
finite dimensional vector space,فضای برداری متناهی‌بعد,,
finite extension,گسترش متناهی,,
finite field,میدان متناهی,,
finite geometry,هندسۀ متناهی,,
finite group,گروه متناهی,,
finite intersection property,ویژگی اشتراک متناهی,,
finite linear combination,ترکیب خطی متناهی,,
finite mathematics,ریاضیات متناهی,,
finite matrix,ماتریس متناهی,,
finite moment theorem,قضیۀ گشتاور متناهی,,
finite morphism,ریختار متناهی,,
finite sequence,دنبالۀ متناهی,,
finite set,مجموعۀ متناهی,,
finitely additive measure,اندازۀ متناهی‌جمعی,,
finitely additive set function → additive set function,,,
finitely generated A-module,A-مدول متناهی مولد,,
finitely generated free module,مدول آزاد متناهی‌مولد,,
finitely generated group,گروه متناهی‌مولد,,
finiteness,تناهی، متناهی بودن,,
finiteness theorems,قضیه‌های تناهی,,
finitistic topological space,فضای توپولوژیکی متناهیوار,,
Finsler geometry,هندسۀ فینسلر,,
Finsler metric,متریک فینسلر,,
Finsler space,فضای فینسلر,,
firmly nonexpansive mapping,نگاشت ناانبساطی حاد,,
first axiom of countability,اولین اصل موضوع‌ شمارایی,,
first boundary value problem,اولین مسألۀ مقدار مرزی,,
first fundamental form,اولین صورت بنیادی,,
first isomorphism theorem,اولین قضیۀ یکریختی,,
first law of cosines,قانون اول کسینوسها,,
first mean value theorem,اولین قضیۀ مقدار میانگین,,
first order autocorrelation,خود همبستگی مرتبۀ اول,,
first order differential operator,عملگر دیفرانسیل مرتبۀ اول,,
first quartile = lower quartrle,چارک اول,,
first separation axiom,اولین اصل موضوع جداسازی,,
first variation,اولین وردش,,
Fisher information,اطلاع فیشر,,
Fisher Z-distribution,فیشر Z توزیع,,
Fisher Z-test,فیشر Z آزمون,,
Fisher Z-transformation,فیشر Zتبدیل,,
fission,شکافت,,
fitting,برازش,,
fixed point 1,نقطۀ ثابت,,
fixed point 2,ممیز ثابت,,
fixed point method,روش نقطۀ ثابت,,
fixed point theorem,قضیۀ نقطۀ ثابت,,
fixed vector,بردار مقید,,
flabby sheaf = scattered sheaf,بافۀ پراکنشی,,
flat module,مدول تخت,,
flat morphism,ریختار تخت,,
flat point of a surface,نقطۀ تخت رویه,,
flattened ellipsoid = oblate ellipsoid,بیضی‌وار پخ,,
floating point method,روش ممیز شناور,,
floor function → least integer function,,,
Floquet theorem,قضیۀ فلوکه,,
flow,شارش,,
flow chart = flowdiogram,گردش‌نما، روندنما,,
flow diagram → flow chart,,,
fluctuation,افت‌وخیز,,
fluid,شاره، سیال,,
fluid mechanics,مکانیک شاره‌ها، مکانیک سیالات,,
flux,شار,,
flux lines,خط‌های شار,,
fly wheel,چرخ لنگر,,
focal distance → focal length,,,
focal length = focal distance,فاصلۀ کانونی,,
focal point,نقطۀ کانونی,,
focal subgroup,زیرگروه کانونی,,
focus,کانون,,
focus for a Gauss mapping,کانون نگاشت گاوس,,
foliation,برگ‏بندی,,
folium cartesii → folium of Descartes,,,
folium of Descartes = folium cartesii,برگینۀ دکارت,,
force,نیرو,,
force polygon,چندضلعی نیروها,,
forced oscillation,نوسان واداشته,,
forced vibration,ارتعاش واداشته,,
form,صورت، فرم,,
formal group,گروه صوری,,
formal logic,منطق صوری,,
formal power series,سری توانی صوری,,
formal system,دستگاه صوری,,
formalism 1,صورت‌گرایی,,
formalism 2,صورتبندی,,
formula,فرمول، دستور,,
formulation,صورتبندی، فرمولبندی,,
forward difference,تفاضل پیشرو,,
forward difference operator,عملگر تفاضل پیشرو,,
forward emission,گسیل پیشرو,,
forward equation,معادلۀ پیشرو,,
forward shift,تغییرجای پیشرو,,
Foucault pendulum,آونگ فوکو,,
foundations of geometry,مبانی هندسه,,
foundations of mathematics,مبانی ریاضیات,,
four-color conjecture,حدس چهاررنگ,,
four-color problem,مسألۀ چهاررنگ,,
four-color theorem,قضیۀ چهاررنگ,,
four-group,چهارگروه,,
Fourier integral theorems,قضیه‌های انتگرال فوریه,,
Fourier analysis,آنالیز فوریه,,
Fourier coefficients,ضریب‌های فوریه,,
Fourier cosine series,سری کسینوسی فوریه,,
Fourier cosine transform,تبدیل کسینوسی فوریه,,
Fourier double integral theorem,قضیۀ انتگرال دوگانۀ فوریه,,
Fourier hyperfunction,ابرتابع فوریه,,
Fourier integral,انتگرال فوریه,,
Fourier integral operator,عملگر انتگرالی فوریه,,
Fourier series,سری فوریه,,
Fourier sine series,سری سینوسی فوریه,,
Fourier single integral theorem,قضیۀ انتگرال سادۀ فوریه,,
Fourier theorem,قضیۀ فوریه,,
Fourier transform 1,تبدیل‌ فوریه,,
Fourier transform 2,تبدیل‌یافتۀ فوریه، تبدیل‌ فوریه,,
Fourier-Laplace transform 1,تبدیل فوریه-لاپلاس,,
Fourier-Laplace transform 2,تبدیل‌یافتۀ فوریه-لاپلاس، تبدیل‌ فوریه-لاپلاس,,
Fourier-Stieltjes transform 1,تبدیل فوریه-استیلت‌یس,,
Fourier-Stieltjes transform 2,تبدیل‏یافتۀ فوریه-استیلت‌یس، تبدیل فوریه-استیلت‌یس,,
fourth proportional,جزء چهارم تناسب,,
fractal,برخال,,
fractile,کسرک,,
fraction,کسر,,
fraction field → field of fractions,,,
fractional equation,معادلۀ کسری,,
fractional ideal,ایده‏آل کسری,,
fractional linear transformation,تبدیل خطی‌کسری,,
fractional part,جزء کسری,,
frame field,میدان کنجی,,
frame of reference 1,دستگاه مرجع,,
frame of reference 2,چارچوب مرجع,,
Fréchet derivative,مشتق فرشه,,
Fréchet distance,فاصلۀ فرشه,,
Fréchet L-space,L- فضای فرشه,,
Fréchet space,فضای فرشه,,
Fredholm determinant,دترمینان فردهولم,,
Fredholm integral equation,معادلۀ انتگرالی فردهولم,,
